text,category,priority
"Charged twice for my appointment, please refund.",billing,4
"App crashes when I open Diet Plans.",tech_bug,3
"I need to reschedule my consultation to tomorrow.",appointment,2
"My blood sugar is extremely high and I feel unwell.",medical,5
"Thanks, everything works now.",other,1
"Charged twice for my appointment, please refund.",billing,4
"I was billed two times for the same booking.",billing,4
"My card was charged but the booking didn’t confirm.",billing,4
"I paid but didn’t receive a confirmation email.",billing,3
"Payment failed but my bank shows it went through.",billing,4
"Can I get a receipt for my consultation payment?",billing,2
"I need a refund—payment went through by mistake.",billing,4
"Subscription charged me after I cancelled.",billing,4
"Price shown is different from what I was charged.",billing,3
"Apple Pay charged me but the app says unpaid.",billing,4
"App crashes when I open Diet Plans.",tech_bug,3
"The app freezes on the home screen after I log in.",tech_bug,3
"I can’t upload my glucose reading, it keeps failing.",tech_bug,3
"My tracker page won’t load—just a blank screen.",tech_bug,3
"Notifications aren’t working even though they’re enabled.",tech_bug,2
"The button for booking doesn’t do anything.",tech_bug,3
"I get an error when I try to save a meal.",tech_bug,3
"The app logs me out randomly.",tech_bug,2
"Login code never arrives to my email.",tech_bug,2
"The app is very slow since the last update.",tech_bug,2
"I need to reschedule my consultation to tomorrow.",appointment,2
"Can you cancel my booking for today?",appointment,2
"I booked the wrong time slot—can you change it?",appointment,2
"How do I book an appointment with Dr. Wisam?",appointment,1
"I can’t find any available times this week.",appointment,2
"Do you have appointments on weekends?",appointment,1
"I missed my appointment—can I rebook?",appointment,2
"Please confirm my appointment time.",appointment,1
"I want to change the appointment to next week.",appointment,2
"I didn’t get the meeting link for my consultation.",appointment,3
"My blood sugar is extremely high and I feel unwell.",medical,5
"I’m feeling dizzy and my sugar feels low.",medical,4
"I had a severe low last night, what should I do?",medical,4
"My readings have been high for 3 days straight.",medical,3
"I feel shaky and sweaty after taking insulin.",medical,4
"I have nausea and I can’t keep food down.",medical,4
"I’m confused about my insulin dose today.",medical,3
"My sugar drops after exercise—how can I prevent it?",medical,3
"I’m worried about repeated night-time lows.",medical,4
"I have chest pain and shortness of breath.",medical,5
"Thanks, the app is really helpful.",other,1
"Love the design—great job.",other,1
"Can you add dark mode?",other,1
"Feature request: add more meal options.",other,1
"I have a suggestion for the home screen layout.",other,1
"How does the meal plan feature work?",other,2
"Where can I see my weekly summary?",other,2
"Do you support Arabic language in the app?",other,1
"Just testing the support chat.",other,1
"Can you explain what the numbers mean in general?",other,2
"I was charged but the appointment page still says pending.",billing,3
"Refund request: I cancelled but got billed anyway.",billing,4
"Payment went through twice on my card.",billing,4
"My invoice is wrong, it shows the wrong amount.",billing,2
"Do you accept e-transfer or only cards?",billing,1
"I can’t download my receipt for the consultation.",billing,2
"I used promo code but it didn’t apply.",billing,2
"Why did the price change at checkout?",billing,3
"I got charged in a different currency than expected.",billing,3
"Please cancel my subscription and stop future charges.",billing,3

"App stuck on loading screen after update.",tech_bug,3
"It says ‘something went wrong’ when I try to book.",tech_bug,3
"My profile photo upload fails every time.",tech_bug,2
"The app keeps crashing when I tap Tracker.",tech_bug,3
"I can’t sign in, it keeps saying invalid code.",tech_bug,2
"The meal plan page is blank for me.",tech_bug,3
"Push notifications come hours late.",tech_bug,2
"The calendar won’t scroll, it freezes.",tech_bug,2
"Error 500 when saving my glucose reading.",tech_bug,3
"I can’t reset my password, link doesn’t work.",tech_bug,2

"Can I move my appointment from 3pm to 5pm today?",appointment,2
"I need to book an urgent consultation this week.",appointment,3
"Is there a way to choose a different doctor?",appointment,1
"I accidentally booked two slots—please cancel one.",appointment,2
"I can’t join the call, can you resend the link?",appointment,3
"What is the appointment duration?",appointment,1
"Can I book for my parent using my account?",appointment,2
"Do you offer same-day appointments?",appointment,2
"I want to confirm the timezone for my booking.",appointment,2
"I need to change the email on my appointment.",appointment,2

"My sugar is low right now and I feel shaky.",medical,4
"I had two lows this week after dinner.",medical,3
"My fasting numbers are higher than usual lately.",medical,3
"I keep getting spikes after rice—what should I adjust?",medical,3
"I took insulin and now I feel dizzy and sweaty.",medical,4
"I’m vomiting and my sugar is high.",medical,4
"I think I have ketones and I feel nauseous.",medical,5
"My vision is blurry and my sugar is very high.",medical,4
"I feel confused and my sugar is low.",medical,4
"Severe headache and shortness of breath.",medical,5

"The app is amazing, thank you.",other,1
"Can you add a widget for quick logging?",other,1
"I’m new—where do I start in the app?",other,2
"How do I change my units to mmol/L?",other,2
"Can I export my data to PDF?",other,2
"Is there a way to delete an entry I logged by mistake?",other,2
"Do you have a tutorial video for the tracker?",other,1
"Suggestion: add reminders for water and meds.",other,1
"Can you add an option to hide my streak?",other,1
"Just saying hi, testing support.",other,1
"I got charged but I never received a booking confirmation.",billing,3
"The refund is taking too long, can you update me?",billing,3
"My payment was declined but the app still shows paid.",billing,3
"I was charged a fee I don’t recognize.",billing,3
"Can you resend the receipt to my email?",billing,2
"I accidentally paid twice—please reverse one payment.",billing,4
"My bank shows pending charge but I cancelled.",billing,2
"The promo discount didn’t apply to my purchase.",billing,2
"Why was I billed after my free trial?",billing,3
"I want to update my payment method.",billing,2
"I can’t complete checkout, it loops back to payment.",billing,3
"Payment link opens but then nothing happens.",billing,3
"I was charged for a session I didn’t attend.",billing,3
"Can I pay later or must I pay upfront?",billing,1
"The refund amount is less than what I paid.",billing,3

"The app keeps spinning when I try to load my history.",tech_bug,2
"I see a blank white screen after logging in.",tech_bug,3
"My charts are missing for this week.",tech_bug,2
"It crashes when I tap the Messages button.",tech_bug,3
"My saved meals disappeared.",tech_bug,3
"I can’t add a new glucose entry, save button does nothing.",tech_bug,3
"The keyboard covers the send button in chat.",tech_bug,2
"The app says offline even though my internet works.",tech_bug,2
"I’m stuck in an infinite login loop.",tech_bug,3
"The calendar shows wrong dates.",tech_bug,2
"I can’t change my profile settings, it won’t save.",tech_bug,2
"I’m getting duplicate notifications.",tech_bug,2
"It logs me out every few minutes.",tech_bug,3
"The app crashes on startup.",tech_bug,3
"Error code 401 when I try to sign in.",tech_bug,3

"Can you move my booking to next Monday?",appointment,2
"I need to cancel and get a new time slot.",appointment,2
"How do I see my upcoming appointments?",appointment,1
"I booked but I can’t find it in my schedule.",appointment,2
"The time options are all full—any cancellations?",appointment,2
"Can I book two appointments in one week?",appointment,1
"I need an appointment urgently, my numbers are high.",appointment,3
"Please change the appointment from in-person to online.",appointment,2
"I missed the call because of timezone confusion.",appointment,3
"Can you confirm the doctor will attend on time?",appointment,1
"I joined the meeting but no one was there.",appointment,3
"Can I get a reminder before the appointment?",appointment,1
"I need to change the phone number for my booking.",appointment,2
"How do I reschedule without paying again?",appointment,2
"Can I book an appointment for today?",appointment,2

"My sugar is very low and I feel weak.",medical,4
"I keep getting lows at night, it’s scary.",medical,4
"My sugar is high after every meal lately.",medical,3
"I’m not sure if I should adjust my insulin dose.",medical,3
"I have ketones and I’m vomiting.",medical,5
"I feel shaky, sweaty, and confused.",medical,4
"My fasting sugar is consistently high this week.",medical,3
"I had a low after exercise again.",medical,3
"I feel dizzy and nauseous with high sugar.",medical,4
"My readings are erratic and I don’t know why.",medical,3
"I’m having blurred vision and a bad headache.",medical,4
"I can’t breathe well and my chest hurts.",medical,5
"I’m worried my sugar is dropping too fast.",medical,4
"My insulin pen might not be working.",medical,3
"I feel extremely thirsty and my sugar is very high.",medical,4

"Can you add a search feature for meals?",other,1
"Where do I change my notification settings?",other,2
"How do I contact the doctor directly?",other,2
"Is my data private and secure?",other,2
"Can you add Arabic support for the whole app?",other,1
"I don’t understand the dashboard, can you guide me?",other,2
"How do I delete my account?",other,2
"Suggestion: add a dark mode toggle in settings.",other,1
"Can I download my logs as CSV?",other,2
"Can you explain what HbA1c means?",other,2
"Thanks for the quick support.",other,1
"This app is super helpful.",other,1
"Can you add more reminders options?",other,1
"Where can I report a bug?",other,2
"Just checking if support is online.",other,1
"I was charged but the appointment didn’t show up in my account.",billing,3
"My refund status says processed but I didn’t receive it.",billing,3
"I got a receipt but it has the wrong date.",billing,2
"Can you change the billing email on my receipt?",billing,2
"I was charged again even though I already paid.",billing,4
"My payment is stuck on pending for hours.",billing,2
"The checkout page shows an extra fee at the end.",billing,3
"I paid for premium but the app still shows free.",billing,3
"Is there a student discount available?",billing,1
"Can you refund a duplicate charge from today?",billing,4
"I was charged but the app crashed during payment.",billing,3
"My card was charged for the wrong plan.",billing,3
"I need a full refund, I cancelled immediately.",billing,4
"Payment succeeded but the session wasn’t created.",billing,4
"Why is the tax amount so high on my invoice?",billing,2

"The app won’t open past the splash screen.",tech_bug,3
"I get a black screen when I open the tracker.",tech_bug,3
"The meal images are not loading for me.",tech_bug,2
"It crashes when I try to open Courses.",tech_bug,3
"My reminders are not firing at all.",tech_bug,2
"I can’t scroll in the meal plan list.",tech_bug,2
"The back button doesn’t work on some pages.",tech_bug,2
"The chat messages don’t send, it just says retry.",tech_bug,3
"I see ‘network error’ but my wifi is fine.",tech_bug,2
"The app duplicates my glucose entries.",tech_bug,2
"My saved appointments disappeared from the calendar.",tech_bug,3
"The app shows wrong units for glucose.",tech_bug,3
"It keeps asking me to log in every time I open it.",tech_bug,2
"I can’t update my profile name.",tech_bug,2
"I’m getting an error when I upload a meal photo.",tech_bug,2

"Can you reschedule my appointment to Friday evening?",appointment,2
"I need to move my booking to a different day.",appointment,2
"Is there an earlier slot available today?",appointment,2
"Can I change my appointment type to phone call?",appointment,2
"I didn’t receive the confirmation for my booking.",appointment,3
"Can you confirm the link for my consultation?",appointment,2
"I need to book an appointment for my child.",appointment,2
"How far in advance can I book?",appointment,1
"Can I book two different doctors?",appointment,1
"I want to cancel and get a refund for the booking.",appointment,3
"The consultation link says invalid meeting.",appointment,3
"My appointment time changed on its own.",appointment,3
"I need to change the appointment location.",appointment,2
"I want to book but there are no slots showing.",appointment,2
